country,cantidad
"Israel, Germany, Poland, Luxembourg, Belgium, France, United States",1
"Israel, United States",5
Italy,23
"Italy, Belgium",1
"Italy, France",2
"Italy, France, Switzerland",1
"Italy, Germany",1
"Italy, South Africa, West Germany, Australia, United States",1
"Italy, Switzerland, Albania, Poland",1
"Italy, Switzerland, France, Germany",1
"Italy, Turkey",1
"Italy, United Kingdom",1
"Italy, United Kingdom, France",1
"Italy, United States",1
"Jamaica, United States",1
Japan,32
Jordan,2
Kenya,1
Kuwait,4
Lebanon,13
"Lebanon, France",1
"Lebanon, Qatar",1
"Lebanon, Syria",1
"Lebanon, United Arab Emirates",1
"Lebanon, United States, United Arab Emirates",1
Luxembourg,1
Malaysia,11
"Mauritius, South Africa",1
Mexico,30
"Mexico, Brazil",1
"Mexico, Finland",1
"Mexico, France",1
"Mexico, France, Colombia",1
"Mexico, Netherlands",1
"Mexico, Spain",2
"Mexico, United States",5
Mozambique,1
Namibia,1
Netherlands,7
"Netherlands, Belgium",1
"Netherlands, Belgium, Germany, Jordan",1
"Netherlands, Belgium, United Kingdom, United States",1
New Zealand,5
"New Zealand, Australia, France, United States",1
"New Zealand, United Kingdom",1
Nigeria,64
"Nigeria, United Kingdom",1
Norway,2
"Norway, Denmark",1
"Norway, Denmark, Netherlands, Sweden",1
"Norway, Germany",1
"Norway, Germany, Sweden",1
"Norway, Iceland, United States",2
"Norway, Sweden",1
"Norway, United Kingdom, France, Ireland",1
"Norway, United States",1
Other,210
Pakistan,10
"Pakistan, Norway, United States",1
"Pakistan, United Arab Emirates",1
"Pakistan, United States",2
"Peru, Germany, Norway",1
Philippines,46
"Philippines, Canada, United Kingdom, United States",1
"Philippines, Qatar",1
"Philippines, United States",1
Poland,19
"Poland, United States",3
"Portugal, France, Poland, United States",1
"Portugal, Spain",1
"Portugal, United States",1
Romania,3
"Romania, Bulgaria, Hungary",1
"Romania, France, Switzerland, Germany",1
"Romania, United States",1
Russia,8
"Russia, Poland, Serbia",1
Saudi Arabia,2
"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",1
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",1
"Saudi Arabia, United Arab Emirates",1
Senegal,1
"Serbia, United States",1
Singapore,16
"Singapore, France",1
"Singapore, Japan, France",1
"Somalia, Kenya, Sudan, South Africa, United States",1
South Africa,18
"South Africa, Germany, Netherlands, France",1
"South Africa, United States",1
"South Africa, United States, Germany",1
South Korea,58
"South Korea, China, United States",1
"South Korea, Japan",1
"South Korea, United States",1
Spain,46
"Spain, Argentina",2
"Spain, Canada, United States",1
"Spain, Colombia",1
"Spain, France",3
"Spain, France, Canada",1
"Spain, France, Italy",1
"Spain, France, United Kingdom, United States",1
"Spain, France, United States",1
"Spain, France, Uruguay",1
"Spain, Mexico",2
"Spain, Mexico, France",1
"Spain, Portugal",1
"Spain, Switzerland",1
"Spain, Thailand, United States",1
Sweden,7
"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",1
Switzerland,2
"Switzerland, France",1
"Switzerland, United Kingdom, Australia",1
"Switzerland, United Kingdom, United States",1
"Switzerland, United States",1
"Syria, France, Lebanon, Qatar",1
Taiwan,35
"Taiwan, China, France, United States",1
"Taiwan, Malaysia",1
Thailand,23
Turkey,51
"Turkey, Azerbaijan",1
"Turkey, France, Germany, Poland",1
"Turkey, United States",1
Ukraine,1
United Arab Emirates,5
"United Arab Emirates, Jordan",1
"United Arab Emirates, Jordan, Lebanon, Saudi Arabia",1
"United Arab Emirates, United Kingdom, India",1
"United Arab Emirates, United States",2
United Kingdom,69
"United Kingdom, Australia",1
"United Kingdom, Australia, Canada, United States",1
"United Kingdom, Australia, France",1
"United Kingdom, Australia, United States",1
"United Kingdom, Belgium",1
"United Kingdom, Brazil, Germany",1
"United Kingdom, Canada",1
"United Kingdom, Canada, Italy",1
"United Kingdom, Canada, United States",3
"United Kingdom, Canada, United States, Germany",1
"United Kingdom, Denmark, Canada, Croatia",1
"United Kingdom, France",5
"United Kingdom, France, Belgium",1
"United Kingdom, France, Belgium, Canada, United States",1
"United Kingdom, France, Canada, Belgium, United States",1
"United Kingdom, France, Germany",1
"United Kingdom, France, Germany, United States",1
"United Kingdom, France, Poland, Germany, United States",1
"United Kingdom, France, United States",3
"United Kingdom, Germany",1
"United Kingdom, Germany, Canada, United States",1
"United Kingdom, Germany, Spain, United States",1
"United Kingdom, Germany, United Arab Emirates, New Zealand",1
"United Kingdom, Germany, United States",1
"United Kingdom, Germany, United States, France",1
"United Kingdom, Hungary, Australia",1
"United Kingdom, India",1
"United Kingdom, India, Sweden",1
"United Kingdom, India, United States",1
"United Kingdom, Ireland",3
"United Kingdom, Italy",1
"United Kingdom, Japan",1
"United Kingdom, Japan, United States",2
"United Kingdom, Kenya",1
"United Kingdom, Lithuania",1
"United Kingdom, Malawi",1
"United Kingdom, New Zealand",1
"United Kingdom, Nigeria",2
"United Kingdom, Norway, Denmark, Germany, Sweden",1
"United Kingdom, Pakistan",1
"United Kingdom, Poland",1
"United Kingdom, Poland, United States",1
"United Kingdom, Russia, United States",1
"United Kingdom, South Africa, France",1
"United Kingdom, Spain, United States",1
"United Kingdom, Spain, United States, Germany",1
"United Kingdom, United States",27
"United Kingdom, United States, Australia",3
"United Kingdom, United States, Canada",1
"United Kingdom, United States, France",2
"United Kingdom, United States, France, Germany",1
"United Kingdom, United States, France, Italy",1
"United Kingdom, United States, Germany, Denmark, Belgium, Japan",1
"United Kingdom, United States, Morocco",1
United States,780
"United States, Argentina",1
"United States, Australia",3
"United States, Brazil",1
"United States, Bulgaria",1
"United States, Cambodia, Romania",1
"United States, Canada",12
"United States, Canada, Ireland",1
"United States, China",1
"United States, China, Hong Kong",2
"United States, Colombia",2
"United States, Colombia, Mexico",1
"United States, France",5
"United States, France, Canada, Lebanon, Qatar",1
"United States, France, Mexico",1
"United States, France, United Kingdom",1
"United States, France, United Kingdom, Japan",1
"United States, Germany",4
"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1
"United States, Greece",1
"United States, Greece, Brazil",1
"United States, Greece, United Kingdom",1
"United States, Hong Kong",1
"United States, Hungary, Ireland, Canada",1
"United States, Iceland",1
"United States, India",5
"United States, India, Bangladesh",1
"United States, India, United Arab Emirates",1
"United States, India, United Kingdom",1
"United States, Indonesia",1
"United States, Ireland",1
"United States, Israel, United Kingdom, Canada",1
"United States, Italy",1
"United States, Italy, Romania, United Kingdom",1
"United States, Italy, United Kingdom, Liechtenstein",1
"United States, Japan",1
"United States, Mexico",2
"United States, Mexico, Spain, Malta",1
"United States, Morocco",1
"United States, New Zealand",2
"United States, Nigeria",2
"United States, Philippines",1
"United States, Poland",1
"United States, South Korea, China",1
"United States, Spain",1
"United States, Sweden",2
"United States, Sweden, Norway",1
"United States, United Kingdom",13
"United States, United Kingdom, Australia",1
"United States, United Kingdom, France",2
"United States, United Kingdom, France, Germany, Japan",1
"United States, United Kingdom, Germany",1
"United States, United Kingdom, India",1
"United States, United Kingdom, Italy",1
"United States, United Kingdom, Morocco",1
"United States, United Kingdom, New Zealand",1
"United States, United Kingdom, Spain, South Korea",1
"Uruguay, Argentina",1
"Uruguay, Argentina, Germany, Spain",1
"Uruguay, Argentina, Spain",1
"Uruguay, Spain, Mexico",1
Vietnam,4
